INFO: Reading-in JSON samples table ...
INFO: Reading-in attractor table ...
INFO: Reading-in sense clusters ...
INFO: Constructing the cluster lookup table ...
INFO: Looking-up the term 'anchor'
INFO: Looking-up the term 'arm'
INFO: Looking-up the term 'balance'
INFO: Looking-up the term 'band'
INFO: Looking-up the term 'bank'
INFO: Looking-up the term 'bar'
INFO: Looking-up the term 'bark'
INFO: Looking-up the term 'barrel'
INFO: Looking-up the term 'bass'
INFO: Looking-up the term 'bat'
INFO: Looking-up the term 'battery'
INFO: Looking-up the term 'beam'
INFO: Looking-up the term 'board'
INFO: Looking-up the term 'bolt'
INFO: Looking-up the term 'boot'
INFO: Looking-up the term 'bow'
INFO: Looking-up the term 'brace'
INFO: Looking-up the term 'break'
INFO: Looking-up the term 'bug'
INFO: Looking-up the term 'butt'
INFO: Looking-up the term 'cabinet'
INFO: Looking-up the term 'capital'
INFO: Looking-up the term 'case'
INFO: Looking-up the term 'cast'
INFO: Looking-up the term 'chair'
INFO: Looking-up the term 'change'
INFO: Looking-up the term 'charge'
INFO: Looking-up the term 'chest'
INFO: Looking-up the term 'chip'
INFO: Looking-up the term 'clip'
INFO: Looking-up the term 'club'
INFO: Looking-up the term 'cock'
INFO: Looking-up the term 'counter'
INFO: Looking-up the term 'crane'
INFO: Looking-up the term 'cycle'
INFO: Looking-up the term 'date'
INFO: Looking-up the term 'deck'
INFO: Looking-up the term 'drill'
INFO: Looking-up the term 'drop'
INFO: Looking-up the term 'fall'
INFO: Looking-up the term 'fan'
INFO: Looking-up the term 'file'
INFO: Looking-up the term 'film'
INFO: Looking-up the term 'flat'
INFO: Looking-up the term 'fly'
INFO: Looking-up the term 'gum'
INFO: Looking-up the term 'hoe'
INFO: Looking-up the term 'hood'
INFO: Looking-up the term 'jam'
INFO: Looking-up the term 'jumper'
INFO: Looking-up the term 'lap'
INFO: Looking-up the term 'lead'
INFO: Looking-up the term 'letter'
INFO: Looking-up the term 'lock'
INFO: Looking-up the term 'mail'
INFO: Looking-up the term 'match'
